"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita"
"LA","Forprofit","2018",64,"Louisiana",4664,9217,1502,0.322041166380789,1.6242,7.959,6.8975,0.2238,28.3297,3.4671,7.872,8.6932,"2017",9.217,4.664,28.9845,3.5715,8.4561,7.6103,6.5703,7.8025,0.924,0.89275,1.5476,0.2379,1.37221269296741e-05
"LA","Forprofit","2019",69,"Louisiana",4658,9657,1484,0.31859167024474,1.9708,8.0259,6.0422,0.307,28.0988,3.3442,7.2425,8.0628,"2018",9.657,4.658,28.3297,3.4671,8.6932,7.872,6.8975,7.959,1.1389,0.924,1.6242,0.2238,1.4813224559897e-05
"MA","Forprofit","2015",66,"Massachusetts",6797,11010,1591,0.234073856112991,2.61,11.9083,7.0388,0.2458,NA,NA,NA,NA,"2014",11.01,6.797,NA,NA,NA,NA,7.0033,12.0134,1.4279,1.43375,2.4967,0.3708,9.7101662498161e-06
"MA","Forprofit","2016",79,"Massachusetts",6827,11490,1633,0.239197304819101,2.9919,12.1356,7.9678,0.3949,30.5206,3.8913,9.1589,10.3102,"2015",11.49,6.827,NA,NA,NA,NA,7.0388,11.9083,1.6934,1.4279,2.61,0.2458,1.15717006005566e-05
"MA","Forprofit","2017",85,"Massachusetts",6864,11746,1601,0.233245920745921,3.2682,13.781,7.5628,0.4568,33.6684,4.439,9.1543,10.127,"2016",11.746,6.864,30.5206,3.8913,10.3102,9.1589,7.9678,12.1356,1.8625,1.6934,2.9919,0.3949,1.23834498834499e-05
"MA","Forprofit","2018",125,"Massachusetts",6886,12215,1600,0.232355503920999,3.1178,13.9824,7.1025,0.566,32.7729,4.1722,8.3353,9.3401,"2017",12.215,6.886,33.6684,4.439,10.127,9.1543,7.5628,13.781,1.8419,1.8625,3.2682,0.4568,1.81527737438281e-05
"MA","Forprofit","2019",135,"Massachusetts",6895,12729,1522,0.220739666424946,2.4041,15.3623,6.4816,0.4125,30.4929,3.8748,7.8927,8.8304,"2018",12.729,6.895,32.7729,4.1722,9.3401,8.3353,7.1025,13.9824,1.4083,1.8419,3.1178,0.566,1.95794053662074e-05
"MD","Forprofit","2015",191,"Maryland",5989,9001,1167,0.194857238270162,1.6109,9.6645,6.9675,0.9514,NA,NA,NA,NA,"2014",9.001,5.989,NA,NA,NA,NA,7.0604,8.6053,1.28115,0.9606,1.4408,0.4804,3.18918016363333e-05
"MD","Forprofit","2016",205,"Maryland",6007,9321,1224,0.2037622773431,1.9423,10.4673,6.3409,0.579,27.7711,3.3524,7.7361,8.6187,"2015",9.321,6.007,NA,NA,NA,NA,6.9675,9.6645,1.26065,1.28115,1.6109,0.9514,3.4126852005993e-05
"MD","Forprofit","2017",203,"Maryland",6028,9592,1317,0.218480424684804,2.2861,11.0364,5.7614,0.584,25.66,3.4327,7.153,7.8926,"2016",9.592,6.028,27.7711,3.3524,8.6187,7.7361,6.3409,10.4673,1.43505,1.26065,1.9423,0.579,3.36761778367618e-05
"MD","Forprofit","2018",233,"Maryland",6042,9934,1314,0.217477656405164,2.0766,10.1857,5.1042,0.3665,26.666,3.3387,6.3221,6.8914,"2017",9.934,6.042,25.66,3.4327,7.8926,7.153,5.7614,11.0364,1.22155,1.43505,2.2861,0.584,3.85633896060907e-05
"MD","Forprofit","2019",261,"Maryland",6055,10248,1324,0.218662262592898,1.8761,11.3739,5.2084,0.2568,27.7363,3.4284,6.3767,7.0108,"2018",10.248,6.055,26.666,3.3387,6.8914,6.3221,5.1042,10.1857,1.06645,1.22155,2.0766,0.3665,4.31048720066061e-05
"ME","Forprofit","2015",100,"Maine",1329,9591,305,0.229495861550038,1.8846,13.9832,5.5744,0.6197,NA,NA,NA,NA,"2014",9.591,1.329,NA,NA,NA,NA,5.9699,12.9143,1.25215,1.00395,1.4881,0.5198,7.52445447705041e-05
"ME","Forprofit","2016",132,"Maine",1332,10018,301,0.225975975975976,1.9079,15.1183,5.9669,0.517,26.3735,2.7584,7.3846,7.8515,"2015",10.018,1.332,NA,NA,NA,NA,5.5744,13.9832,1.21245,1.25215,1.8846,0.6197,9.90990990990991e-05
"ME","Forprofit","2017",104,"Maine",1336,10399,295,0.220808383233533,1.9594,16.308,5.9084,0.5457,25.0183,3.0357,7.945,8.3604,"2016",10.399,1.336,26.3735,2.7584,7.8515,7.3846,5.9669,15.1183,1.25255,1.21245,1.9079,0.517,7.78443113772455e-05
"ME","Forprofit","2018",88,"Maine",1340,10950,287,0.214179104477612,2.1579,17.0937,6.4512,0.7006,23.7146,3.1375,8.5391,9.2746,"2017",10.95,1.34,25.0183,3.0357,8.3604,7.945,5.9084,16.308,1.42925,1.25255,1.9594,0.5457,6.56716417910448e-05
"ME","Forprofit","2019",99,"Maine",1346,11488,306,0.227340267459138,2.08,18.13,5.9538,0.6085,23.4103,3.283,8.2033,8.8925,"2018",11.488,1.346,23.7146,3.1375,9.2746,8.5391,6.4512,17.0937,1.34425,1.42925,2.1579,0.7006,7.35512630014859e-05
"MI","Forprofit","2015",153,"Michigan",9934,8372,2410,0.242601167706865,1.3255,10.2894,5.9693,0.3934,NA,NA,NA,NA,"2014",8.372,9.934,NA,NA,NA,NA,6.4925,10.404,0.85945,0.7241,1.1197,0.3285,1.5401650895913e-05
"MI","Forprofit","2016",162,"Michigan",9954,8707,2526,0.253767329716697,1.5482,10.8094,6.1015,0.3814,27.3614,3.453,7.6109,8.0753,"2015",8.707,9.954,NA,NA,NA,NA,5.9693,10.2894,0.9648,0.85945,1.3255,0.3934,1.62748643761302e-05
"MI","Forprofit","2017",162,"Michigan",9977,8940,2338,0.234338979653202,1.8243,12.002,5.8576,0.3331,27.1403,3.7952,7.263,7.9349,"2016",8.94,9.977,27.3614,3.453,8.0753,7.6109,6.1015,10.8094,1.0787,0.9648,1.5482,0.3814,1.62373458955598e-05
"MI","Forprofit","2018",170,"Michigan",9987,9142,2632,0.263542605387003,2.0847,13.0815,5.6752,0.2352,28.2307,3.7191,6.8894,7.4743,"2017",9.142,9.987,27.1403,3.7952,7.9349,7.263,5.8576,12.002,1.15995,1.0787,1.8243,0.3331,1.70221287673976e-05
"MI","Forprofit","2019",166,"Michigan",9985,9532,2600,0.260390585878818,1.9569,14.4238,6.1202,0.3498,28.4531,3.7726,7.1115,7.565,"2018",9.532,9.985,28.2307,3.7191,7.4743,6.8894,5.6752,13.0815,1.15335,1.15995,2.0847,0.2352,1.66249374061092e-05
"MN","Forprofit","2015",144,"Minnesota",5484,9163,1211,0.220824215900802,1.6152,7.738,6.7532,0.3736,NA,NA,NA,NA,"2014",9.163,5.484,NA,NA,NA,NA,6.7233,7.3354,0.9944,0.7839,1.309,0.2588,2.62582056892779e-05
"MN","Forprofit","2016",165,"Minnesota",5525,9540,1237,0.223891402714932,1.8825,7.4705,6.0909,0.3159,30.2872,3.189,6.9912,7.9865,"2015",9.54,5.525,NA,NA,NA,NA,6.7532,7.738,1.0992,0.9944,1.6152,0.3736,2.98642533936652e-05
"MN","Forprofit","2017",162,"Minnesota",5569,9782,1197,0.214939845573712,1.8203,7.9063,5.4074,0.2505,28.5005,3.2261,6.1947,6.973,"2016",9.782,5.569,30.2872,3.189,7.9865,6.9912,6.0909,7.4705,1.0354,1.0992,1.8825,0.3159,2.9089603160352e-05
"MN","Forprofit","2018",170,"Minnesota",5609,10174,1159,0.206632198252808,2.5935,9.8126,5.5727,0.3645,28.3274,3.5352,6.7506,7.2397,"2017",10.174,5.609,28.5005,3.2261,6.973,6.1947,5.4074,7.9063,1.479,1.0354,1.8203,0.2505,3.03084328757354e-05
"MN","Forprofit","2019",185,"Minnesota",5640,10510,1124,0.199290780141844,2.3146,10.3128,6.0573,0.321,29.1785,3.2684,7.2929,7.6233,"2018",10.51,5.64,28.3274,3.5352,7.2397,6.7506,5.5727,9.8126,1.3178,1.479,2.5935,0.3645,3.28014184397163e-05
"MO","Forprofit","2015",60,"Missouri",6075,8261,1076,0.177119341563786,1.4339,8.1698,6.5394,0.2611,NA,NA,NA,NA,"2014",8.261,6.075,NA,NA,NA,NA,6.7544,8.1361,0.8475,0.74195,1.2114,0.2725,9.87654320987654e-06
"MO","Forprofit","2016",67,"Missouri",6091,8608,1174,0.192743391889673,1.3721,8.3202,6.1682,0.3569,27.0393,3.0905,7.29,7.9851,"2015",8.608,6.091,NA,NA,NA,NA,6.5394,8.1698,0.8645,0.8475,1.4339,0.2611,1.09998358233459e-05
"MO","Forprofit","2017",61,"Missouri",6111,8824,1183,0.193585337915235,1.706,8.6844,5.6799,0.3226,27.199,3.3418,6.841,7.656,"2016",8.824,6.111,27.0393,3.0905,7.9851,7.29,6.1682,8.3202,1.0143,0.8645,1.3721,0.3569,9.98199967272132e-06
"MO","Forprofit","2018",61,"Missouri",6126,9032,1129,0.184296441397323,1.5507,8.8062,5.3558,0.2797,26.0017,2.9913,6.8012,7.5682,"2017",9.032,6.126,27.199,3.3418,7.656,6.841,5.6799,8.6844,0.9152,1.0143,1.706,0.3226,9.95755794972249e-06
"MO","Forprofit","2019",63,"Missouri",6140,9431,1025,0.166938110749186,1.4224,9.3017,5.5559,0.3032,25.9697,3.0089,7.1108,7.7089,"2018",9.431,6.14,26.0017,2.9913,7.5682,6.8012,5.3558,8.8062,0.8628,0.9152,1.5507,0.2797,1.02605863192182e-05
"MS","Forprofit","2015",16,"Mississippi",2990,7777,751,0.251170568561873,1.0754,5.3619,5.4831,0.1564,NA,NA,NA,NA,"2014",7.777,2.99,NA,NA,NA,NA,6.1892,5.874,0.6159,0.62455,1.0508,0.1983,5.35117056856187e-06
"MS","Forprofit","2016",17,"Mississippi",2991,8170,754,0.252089602139753,1.3841,5.7715,4.8791,0.2413,20.8856,3.3454,6.1848,6.6935,"2015",8.17,2.991,NA,NA,NA,NA,5.4831,5.3619,0.8127,0.6159,1.0754,0.1564,5.68371782012705e-06
"MS","Forprofit","2017",16,"Mississippi",2991,8392,746,0.249414911400869,1.4069,7.1683,4.7694,0.2321,22.4778,3.3961,5.9915,6.7684,"2016",8.392,2.991,20.8856,3.3454,6.6935,6.1848,4.8791,5.7715,0.8195,0.8127,1.3841,0.2413,5.34938147776663e-06
"MS","Forprofit","2018",22,"Mississippi",2983,8417,711,0.238350653704325,1.5964,7.2055,4.7119,0.2237,23.2887,3.257,6.0417,6.7734,"2017",8.417,2.983,22.4778,3.3961,6.7684,5.9915,4.7694,7.1683,0.91005,0.8195,1.4069,0.2321,7.3751257123701e-06
"MS","Forprofit","2019",30,"Mississippi",2978,8745,701,0.235392881128274,1.6601,8.1229,5.1465,0.2445,22.234,3.086,6.5155,7.1463,"2018",8.745,2.978,23.2887,3.257,6.7734,6.0417,4.7119,7.2055,0.9523,0.91005,1.5964,0.2237,1.0073875083949e-05
"MT","Forprofit","2015",9,"Montana",1031,8344,131,0.127061105722599,1.5722,11.3184,7.366,0.1826,NA,NA,NA,NA,"2014",8.344,1.031,NA,NA,NA,NA,8.0422,10.1997,0.8774,0.76895,1.2906,0.2473,8.72938894277401e-06
"MT","Forprofit","2016",8,"Montana",1042,8680,209,0.200575815738964,1.8707,12.3598,7.6467,0.3424,30.1344,3.1848,8.5093,9.1383,"2015",8.68,1.042,NA,NA,NA,NA,7.366,11.3184,1.10655,0.8774,1.5722,0.1826,7.67754318618042e-06
"MT","Forprofit","2017",13,"Montana",1054,9030,241,0.22865275142315,2.0008,13.3965,8.0118,0.3571,31.3101,3.6492,8.567,9.2285,"2016",9.03,1.054,30.1344,3.1848,9.1383,8.5093,7.6467,12.3598,1.17895,1.10655,1.8707,0.3424,1.23339658444023e-05
"MT","Forprofit","2018",17,"Montana",1062,9354,257,0.241996233521657,2.0263,14.906,7.8748,0.3205,29.1211,3.6617,8.7773,9.4065,"2017",9.354,1.062,31.3101,3.6492,9.2285,8.567,8.0118,13.3965,1.1734,1.17895,2.0008,0.3571,1.60075329566855e-05
"MT","Forprofit","2019",30,"Montana",1070,9808,253,0.236448598130841,2.2526,15.3997,7.9242,0.3912,29.4223,3.7898,9.5913,10.0419,"2018",9.808,1.07,29.1211,3.6617,9.4065,8.7773,7.8748,14.906,1.3219,1.1734,2.0263,0.3205,2.80373831775701e-05
"NC","Forprofit","2015",222,"North Carolina",10037,7594,1790,0.178340141476537,1.9261,7.4308,5.6234,0.2132,NA,NA,NA,NA,"2014",7.594,10.037,NA,NA,NA,NA,6.5076,6.7237,1.06965,0.93555,1.5336,0.3375,2.21181627976487e-05
"NC","Forprofit","2016",260,"North Carolina",10162,7886,1897,0.186675851210392,2.0331,7.9157,4.9597,0.3693,23.0938,3.5804,6.0525,7.0255,"2015",7.886,10.162,NA,NA,NA,NA,5.6234,7.4308,1.2012,1.06965,1.9261,0.2132,2.5585514662468e-05
"NC","Forprofit","2017",252,"North Carolina",10276,8105,1973,0.19200077851304,2.0068,8.117,4.6949,0.4921,21.9652,3.3567,5.8183,6.5408,"2016",8.105,10.276,23.0938,3.5804,7.0255,6.0525,4.9597,7.9157,1.24945,1.2012,2.0331,0.3693,2.45231607629428e-05
"NC","Forprofit","2018",279,"North Carolina",10391,8285,2010,0.193436627851025,1.9919,7.9077,5.1037,0.2921,23.2363,3.04,6.4377,6.9509,"2017",8.285,10.391,21.9652,3.3567,6.5408,5.8183,4.6949,8.117,1.142,1.24945,2.0068,0.4921,2.68501587912617e-05
"NC","Forprofit","2019",313,"North Carolina",10501,8619,2011,0.19150557089801,2.0952,9.3906,5.4638,0.3055,25.712,3.1607,6.8624,7.2571,"2018",8.619,10.501,23.2363,3.04,6.9509,6.4377,5.1037,7.9077,1.20035,1.142,1.9919,0.2921,2.98066850776117e-05
"ND","Forprofit","2015",30,"North Dakota",756,9357,84,0.111111111111111,1.2403,5.9227,7.441,0.2217,NA,NA,NA,NA,"2014",9.357,0.756,NA,NA,NA,NA,8.1495,5.791,0.731,0.8467,1.3527,0.3407,3.96825396825397e-05
"ND","Forprofit","2016",30,"North Dakota",756,9682,93,0.123015873015873,1.2736,5.6081,7.3424,0.3345,34.1543,2.7755,8.4327,8.9826,"2015",9.682,0.756,NA,NA,NA,NA,7.441,5.9227,0.80405,0.731,1.2403,0.2217,3.96825396825397e-05
"ND","Forprofit","2017",32,"North Dakota",757,9961,93,0.122853368560106,1.5977,6.5705,6.9673,0.4955,33.5157,3.0282,7.9039,8.5959,"2016",9.961,0.757,34.1543,2.7755,8.9826,8.4327,7.3424,5.6081,1.0466,0.80405,1.2736,0.3345,4.22721268163804e-05
"ND","Forprofit","2018",36,"North Dakota",760,10269,92,0.121052631578947,1.5802,7.8712,6.9379,0.3896,34.0701,3.0454,8.1033,8.7948,"2017",10.269,0.76,33.5157,3.0282,8.5959,7.9039,6.9673,6.5705,0.9849,1.0466,1.5977,0.4955,4.73684210526316e-05
"ND","Forprofit","2019",41,"North Dakota",764,10653,89,0.116492146596859,1.5358,7.9545,6.8329,0.3347,32.9841,3.2126,8.2897,8.8839,"2018",10.653,0.764,34.0701,3.0454,8.7948,8.1033,6.9379,7.8712,0.93525,0.9849,1.5802,0.3896,5.36649214659686e-05
"NE","Forprofit","2015",29,"Nebraska",1892,8579,218,0.115221987315011,1.4581,6.3974,7.3369,0.2245,NA,NA,NA,NA,"2014",8.579,1.892,NA,NA,NA,NA,8.0299,5.8121,0.8413,0.77125,1.2341,0.3084,1.53276955602537e-05
"NE","Forprofit","2016",26,"Nebraska",1906,8943,227,0.11909758656873,1.4885,7.3683,6.2537,0.2586,31.2796,3.1899,7.3149,8.2274,"2015",8.943,1.906,NA,NA,NA,NA,7.3369,6.3974,0.87355,0.8413,1.4581,0.2245,1.36411332633788e-05
"NE","Forprofit","2017",24,"Nebraska",1917,9189,232,0.121022430881586,1.797,7.892,6.1918,0.2396,31.4605,2.9343,7.1041,8.0844,"2016",9.189,1.917,31.2796,3.1899,8.2274,7.3149,6.2537,7.3683,1.0183,0.87355,1.4885,0.2586,1.25195618153365e-05
"NE","Forprofit","2018",26,"Nebraska",1926,9492,235,0.122014537902388,1.9769,8.431,6.2535,0.2415,31.8315,3.0043,7.4281,8.0106,"2017",9.492,1.926,31.4605,2.9343,8.0844,7.1041,6.1918,7.892,1.1092,1.0183,1.797,0.2396,1.34994807892004e-05
"NE","Forprofit","2019",32,"Nebraska",1933,9917,231,0.119503362648733,1.8362,8.617,6.1184,0.2634,31.8385,2.703,7.0697,7.7126,"2018",9.917,1.933,31.8315,3.0043,8.0106,7.4281,6.2535,8.431,1.0498,1.1092,1.9769,0.2415,1.6554578375582e-05
"NH","Forprofit","2015",22,"New Hampshire",1337,9763,184,0.137621540762902,3.2772,12.3054,7.6193,0.6581,NA,NA,NA,NA,"2014",9.763,1.337,NA,NA,NA,NA,7.9816,11.6647,1.96765,1.5981,2.6362,0.56,1.64547494390426e-05
"NH","Forprofit","2016",31,"New Hampshire",1344,10157,203,0.151041666666667,2.9328,12.4248,6.3619,0.9371,30.0367,4.0219,7.9343,8.6588,"2015",10.157,1.344,NA,NA,NA,NA,7.6193,12.3054,1.93495,1.96765,3.2772,0.6581,2.30654761904762e-05
"NH","Forprofit","2017",36,"New Hampshire",1350,10573,202,0.14962962962963,2.3197,13.2791,6.5095,0.729,30.6347,3.756,8.1277,8.6858,"2016",10.573,1.35,30.0367,4.0219,8.6588,7.9343,6.3619,12.4248,1.52435,1.93495,2.9328,0.9371,2.66666666666667e-05
"NH","Forprofit","2018",35,"New Hampshire",1355,10974,193,0.142435424354244,2.8855,14.7243,7.0845,0.4435,31.6094,3.5119,8.5781,9.0947,"2017",10.974,1.355,30.6347,3.756,8.6858,8.1277,6.5095,13.2791,1.6645,1.52435,2.3197,0.729,2.5830258302583e-05
"NH","Forprofit","2019",39,"New Hampshire",1361,11310,187,0.1373989713446,2.8104,14.564,6.8546,0.3209,29.8471,3.3705,8.2095,8.837,"2018",11.31,1.361,31.6094,3.5119,9.0947,8.5781,7.0845,14.7243,1.56565,1.6645,2.8855,0.4435,2.86554004408523e-05
"NJ","Forprofit","2015",146,"New Jersey",8870,9483,1694,0.19098083427283,1.829,7.0252,5.9677,0.7339,NA,NA,NA,NA,"2014",9.483,8.87,NA,NA,NA,NA,6.8158,6.2942,1.28145,0.94635,1.4115,0.4812,1.64599774520857e-05
"NJ","Forprofit","2016",154,"New Jersey",8874,9979,1726,0.194500788821276,2.0644,6.8745,5.0994,0.5512,25.0628,2.9909,6.033,6.5262,"2015",9.979,8.874,NA,NA,NA,NA,5.9677,7.0252,1.3078,1.28145,1.829,0.7339,1.73540680640072e-05
"NJ","Forprofit","2017",153,"New Jersey",8888,10340,1740,0.195769576957696,2.0066,7.3461,5.0333,0.4878,26.089,2.823,5.9935,6.5158,"2016",10.34,8.888,25.0628,2.9909,6.5262,6.033,5.0994,6.8745,1.2472,1.3078,2.0644,0.5512,1.72142214221422e-05
"NJ","Forprofit","2018",171,"New Jersey",8892,10665,1702,0.191408007197481,1.5824,8.1138,5.0705,0.6631,27.7054,2.6904,6.7618,7.0116,"2017",10.665,8.892,26.089,2.823,6.5158,5.9935,5.0333,7.3461,1.12275,1.2472,2.0066,0.4878,1.92307692307692e-05
"NJ","Forprofit","2019",174,"New Jersey",8891,11264,1630,0.18333145877854,1.7112,9.2167,4.6139,0.4441,27.3092,2.5774,6.2941,6.7056,"2018",11.264,8.891,27.7054,2.6904,7.0116,6.7618,5.0705,8.1138,1.07765,1.12275,1.5824,0.6631,1.95703520413902e-05
"NM","Forprofit","2015",51,"New Mexico",2090,7418,841,0.402392344497608,2.0405,10.3081,7.2761,0.196,NA,NA,NA,NA,"2014",7.418,2.09,NA,NA,NA,NA,7.3666,9.7262,1.11825,1.31445,2.3029,0.326,2.44019138755981e-05
"NM","Forprofit","2016",49,"New Mexico",2093,7717,924,0.441471571906354,1.9753,10.6101,7.4319,0.3944,27.6848,3.6039,8.5808,9.0934,"2015",7.717,2.093,NA,NA,NA,NA,7.2761,10.3081,1.18485,1.11825,2.0405,0.196,2.34113712374582e-05
"NM","Forprofit","2017",44,"New Mexico",2093,7973,948,0.452938365981844,2.1515,12.1953,6.4151,0.3681,26.4168,3.8039,7.68,8.2202,"2016",7.973,2.093,27.6848,3.6039,9.0934,8.5808,7.4319,10.6101,1.2598,1.18485,1.9753,0.3944,2.10224558050645e-05
"NM","Forprofit","2018",48,"New Mexico",2094,8154,895,0.427411652340019,2.2423,13.3379,5.5624,0.324,24.9196,3.111,6.8231,7.5312,"2017",8.154,2.094,26.4168,3.8039,8.2202,7.68,6.4151,12.1953,1.28315,1.2598,2.1515,0.3681,2.29226361031519e-05
"NM","Forprofit","2019",53,"New Mexico",2100,8459,881,0.41952380952381,2.0004,12.6973,5.7329,0.325,22.9574,2.8871,7.1911,7.7043,"2018",8.459,2.1,24.9196,3.111,7.5312,6.8231,5.5624,13.3379,1.1627,1.28315,2.2423,0.324,2.52380952380952e-05
"NV","Forprofit","2015",27,"Nevada",2869,6987,498,0.173579644475427,1.5415,7.8481,6.582,0.3526,NA,NA,NA,NA,"2014",6.987,2.869,NA,NA,NA,NA,7.1694,7.743,0.94705,0.975,1.6993,0.2507,9.41094457999303e-06
"NV","Forprofit","2016",25,"Nevada",2920,7377,555,0.190068493150685,1.9615,8.2124,5.6077,0.36,26.4771,3.5165,7.0698,7.4423,"2015",7.377,2.92,NA,NA,NA,NA,6.582,7.8481,1.16075,0.94705,1.5415,0.3526,8.56164383561644e-06
"NV","Forprofit","2017",25,"Nevada",2972,7642,564,0.189771197846568,2.5045,12.1074,5.9972,0.5361,25.4544,3.9408,7.9054,8.3234,"2016",7.642,2.972,26.4771,3.5165,7.4423,7.0698,5.6077,8.2124,1.5203,1.16075,1.9615,0.36,8.41184387617766e-06
"NV","Forprofit","2018",25,"Nevada",3031,7892,558,0.184097657538766,2.4395,15.6385,5.8752,0.3616,24.8509,3.5971,8.2925,9.0002,"2017",7.892,3.031,25.4544,3.9408,8.3234,7.9054,5.9972,12.1074,1.40055,1.5203,2.5045,0.5361,8.24810293632465e-06
"NV","Forprofit","2019",37,"Nevada",3091,8114,547,0.176965383371077,2.9641,16.7391,6.4602,0.2337,26.8709,3.8143,8.6186,9.3225,"2018",8.114,3.091,24.8509,3.5971,9.0002,8.2925,5.8752,15.6385,1.5989,1.40055,2.4395,0.3616,1.19702361695244e-05
"NY","Forprofit","2015",143,"New York",19657,10305,5924,0.301368469247596,2.7053,9.7454,6.773,0.5584,NA,NA,NA,NA,"2014",10.305,19.657,NA,NA,NA,NA,6.9714,8.5956,1.63185,1.41885,2.4314,0.4063,7.27476217123671e-06
"NY","Forprofit","2016",146,"New York",19636,10927,5867,0.298787940517417,2.5518,9.9042,6.4265,0.446,27.3461,3.528,7.4089,8.3287,"2015",10.927,19.636,NA,NA,NA,NA,6.773,9.7454,1.4989,1.63185,2.7053,0.5584,7.43532287634956e-06
"NY","Forprofit","2017",138,"New York",19594,11558,5889,0.300551189139532,2.6459,9.7196,6.0239,0.3212,26.7813,3.4305,7.3512,8.0417,"2016",11.558,19.594,27.3461,3.528,8.3287,7.4089,6.4265,9.9042,1.48355,1.4989,2.5518,0.446,7.04297233847096e-06
"NY","Forprofit","2018",148,"New York",19544,12098,5872,0.300450266066312,2.8241,10.047,5.6512,0.2991,25.4761,3.422,7.0085,7.567,"2017",12.098,19.544,26.7813,3.4305,8.0417,7.3512,6.0239,9.7196,1.5616,1.48355,2.6459,0.3212,7.57265656979124e-06
"NY","Forprofit","2019",154,"New York",19463,12932,5834,0.299748240250732,2.712,11.3633,5.4769,0.3203,24.8777,3.3275,6.9364,7.4328,"2018",12.932,19.463,25.4761,3.422,7.567,7.0085,5.6512,10.047,1.51615,1.5616,2.8241,0.2991,7.91244926270359e-06
"OH","Forprofit","2015",47,"Ohio",11622,8754,2968,0.255377731887799,1.5433,7.8167,6.8857,0.4083,NA,NA,NA,NA,"2014",8.754,11.622,NA,NA,NA,NA,7.0737,7.0232,0.9758,0.96575,1.4852,0.4463,4.04405437962485e-06
"OH","Forprofit","2016",49,"Ohio",11640,9062,3028,0.260137457044674,1.7805,9.212,6.4726,0.4389,28.2953,3.1825,7.4997,8.2532,"2015",9.062,11.64,NA,NA,NA,NA,6.8857,7.8167,1.1097,0.9758,1.5433,0.4083,4.20962199312715e-06
"OH","Forprofit","2017",64,"Ohio",11666,9400,3042,0.260757757586148,1.8933,8.8065,5.9948,0.4899,26.8574,3.2669,7.372,8.0459,"2016",9.4,11.666,28.2953,3.1825,8.2532,7.4997,6.4726,9.212,1.1916,1.1097,1.7805,0.4389,5.4860277730156e-06
"OH","Forprofit","2018",82,"Ohio",11681,9627,2893,0.24766715178495,1.7021,8.5642,5.5016,0.5323,26.8735,3.2377,6.8737,7.6397,"2017",9.627,11.681,26.8574,3.2669,8.0459,7.372,5.9948,8.8065,1.1172,1.1916,1.8933,0.4899,7.01994692235254e-06
"OH","Forprofit","2019",132,"Ohio",11697,10173,2781,0.237753270069249,1.8803,10.5966,5.4867,0.3824,26.7057,3.2425,6.9917,7.9392,"2018",10.173,11.697,26.8735,3.2377,7.6397,6.8737,5.5016,8.5642,1.13135,1.1172,1.7021,0.5323,1.12849448576558e-05
"OK","Forprofit","2015",54,"Oklahoma",3911,7902,725,0.185374584505242,1.173,6.3326,6.628,0.2293,NA,NA,NA,NA,"2014",7.902,3.911,NA,NA,NA,NA,6.8378,6.2992,0.70115,0.6127,1.0261,0.1993,1.38072104321145e-05
"OK","Forprofit","2016",49,"Oklahoma",3928,8132,688,0.175152749490835,1.4959,6.0742,5.8165,0.3343,22.8186,3.3087,6.4821,7.1509,"2015",8.132,3.928,NA,NA,NA,NA,6.628,6.3326,0.9151,0.70115,1.173,0.2293,1.24745417515275e-05
"OK","Forprofit","2017",47,"Oklahoma",3934,8382,696,0.17691916624301,1.8328,7.0644,6.3264,0.4688,23.9271,3.3026,7.1173,7.7759,"2016",8.382,3.934,22.8186,3.3087,7.1509,6.4821,5.8165,6.0742,1.1508,0.9151,1.4959,0.3343,1.19471276054906e-05
"OK","Forprofit","2018",44,"Oklahoma",3943,8625,667,0.169160537661679,2.102,7.7538,6.4003,0.3658,25.4297,3.6137,7.6452,8.5438,"2017",8.625,3.943,23.9271,3.3026,7.7759,7.1173,6.3264,7.0644,1.2339,1.1508,1.8328,0.4688,1.1159015977682e-05
"OK","Forprofit","2019",44,"Oklahoma",3961,8923,658,0.16611966675082,1.759,10.5372,5.883,0.2918,23.1873,3.4613,7.4047,8.0107,"2018",8.923,3.961,25.4297,3.6137,8.5438,7.6452,6.4003,7.7538,1.0254,1.2339,2.102,0.3658,1.11083059833375e-05
"OR","Forprofit","2015",61,"Oregon",4019,8438,1089,0.27096292610102,2.2682,13.0385,7.2868,0.3688,NA,NA,NA,NA,"2014",8.438,4.019,NA,NA,NA,NA,7.312,12.5908,1.3185,1.24005,2.1159,0.3642,1.51779049514805e-05
"OR","Forprofit","2016",69,"Oregon",4093,8699,1087,0.265575372587344,2.6438,16.2565,7.4623,0.5011,25.0475,4.1246,9.6043,9.8847,"2015",8.699,4.093,NA,NA,NA,NA,7.2868,13.0385,1.57245,1.3185,2.2682,0.3688,1.68580503298314e-05
"OR","Forprofit","2017",69,"Oregon",4147,8827,1026,0.247407764649144,3.1571,20.0373,7.8704,0.3956,26.732,4.6722,9.215,9.7615,"2016",8.827,4.147,25.0475,4.1246,9.8847,9.6043,7.4623,16.2565,1.77635,1.57245,2.6438,0.5011,1.66385338799132e-05
