CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,SRVC75,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5
4370,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
4371,IL,0,1,1,,0,0,1,0,0,1,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4372,IL,1,1,2,,0,0,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,1,0,0,,,0,,,,,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
4373,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4374,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,1,0,0,1,0,0,,,,,,0,0,0,1,0,1,0,0,1,0,0
4375,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,,,0,,,,,,0,0,0,1,1,1,1,1,1,D,0
4376,IL,0,1,1,,0,0,0,0,0,0,,,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
4377,IL,0,1,2,,0,0,0,0,0,0,,,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
4378,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1
4379,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4380,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4381,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0
4382,IL,0,1,2,,1,1,0,1,1,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,,,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
4383,IL,0,1,1,,0,0,0,0,0,0,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
4384,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
4385,IL,0,1,2,,0,0,0,0,0,0,,,5,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,D,D,D,D,D,D,0
4386,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
4387,IL,0,1,3,,0,0,1,0,0,1,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
4388,IL,0,1,2,,0,0,1,0,0,1,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,0,,,,,,1,1,0,1,0,0,0,0,0,D,0
4389,IL,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,D,0
4390,IL,0,1,2,,0,0,1,0,0,1,0,3,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,,,0,,,,,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,D,0
4391,IL,0,1,2,,0,0,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,D,0
4392,IL,0,1,2,,0,0,1,0,0,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0
4393,IL,0,1,3,,0,0,0,0,0,0,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,0,D,1,D,0
4394,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1
4395,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
4396,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,D,0
4397,IL,0,1,2,,1,0,0,0,0,0,,,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0
4398,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,D,0
4399,IL,0,1,2,,0,0,0,0,0,0,,,2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,D,0
4400,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
4401,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
4402,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
4403,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4404,IL,0,1,2,,0,0,0,0,0,0,,,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
4405,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
4406,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0
4407,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0
4408,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
4409,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,D,0
4410,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
4411,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,D,0
4412,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
4413,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4414,IL,0,1,2,,1,1,0,1,0,0,0,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,0,,,,,,1,0,0,1,0,1,1,0,1,0,0
4415,IL,0,1,2,,0,0,1,0,0,1,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0
4416,IL,0,1,1,,0,0,0,0,0,0,,,M,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4417,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
4418,IL,0,1,2,,0,0,0,0,0,0,,,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,0,1,1,0,0,0,0,0,0,0,0
4419,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1
4420,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
4421,IL,1,1,1,,0,0,1,0,0,1,1,3,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,1,0,,,0,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
4422,IL,1,0,2,,0,0,1,0,0,1,1,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,0,,,,,,0,0,0,0,1,1,0,0,0,0,0
4423,IL,1,1,2,,0,0,1,0,0,1,1,3,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,,,,,,0,0,0,1,1,0,1,1,1,0,0
4424,IL,0,1,2,,1,1,0,1,1,0,,,5,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
4425,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
4426,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1
4427,IL,0,1,3,,1,0,0,1,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4428,IL,1,1,1,,0,0,1,1,1,1,1,3,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,1,1,0,,,0,,,,,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4429,IL,0,1,2,,0,0,0,1,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,,1,0,1,0,0,0,,,,,,1,1,0,1,0,1,1,0,1,0,0
4430,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0
4431,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,D,0
4432,IL,0,1,2,,0,0,0,0,0,0,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,1,0,D,1,0,0
4433,IL,1,1,1,,0,0,0,0,0,0,,,M,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
4434,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0
4435,IL,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0
4436,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4437,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,D,0
4438,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4439,IL,1,1,1,,1,1,1,1,0,1,1,3,5,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,,,0,,,,,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,D,0
4440,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
4441,IL,0,1,2,,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,D,0
4442,IL,0,1,2,,1,1,0,1,0,0,0,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,D,0
4443,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,D,0
4444,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4445,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,0,0,0,1
4446,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
4447,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4448,IL,1,1,2,,1,1,0,0,0,0,,,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
4449,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
4450,IL,0,1,1,,0,0,0,0,0,0,,,M,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
4451,IL,0,1,2,,0,0,1,0,0,1,0,1,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0
4452,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4453,IL,0,1,1,,1,0,1,1,1,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4454,IL,1,1,2,,1,1,0,1,0,0,0,3,4,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,D,0
4455,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
4456,IL,1,1,1,,1,1,1,1,1,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,,,0,,,,,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
4457,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4458,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
4459,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
4460,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,D,0
4461,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,D,0
4462,IL,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
4463,IL,0,1,2,,0,0,0,1,0,0,0,1,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0
4464,IL,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
4465,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
4466,IL,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,0,,,,,,1,1,0,1,0,1,1,1,1,0,0
4467,IL,0,1,2,,0,1,0,1,0,0,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,D,0
4468,IL,0,1,1,,0,0,0,0,0,0,,,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
4469,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,,,,,,0,1,0,1,0,1,0,0,0,0,0
4470,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
4471,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,D,D,D,D,D,D,0
4472,IL,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,D,0
4473,IL,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4474,IL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,D,0
